OSM_ESTIMATED_HEIGHT_M,levels_clean,DISTRICT,RERA_ID,PROJECT_NAME,PROMOTER_NAME,LOCATION_PIN_CODE,LATITUDE,LONGITUDE,PROPOSED_DATE_OF_COMPLETION,REVISED_PROPOSED_DATE_OF_COMPLETION,EXTENDED_DATE_OF_COMPLETION,PROJECT_TYPE,PROJECT_AREA_(SQMTS),RECREATIONAL_OPEN_SPACE,SANCTIONED_FSI,DATE_LAST_MODIFIED,CASES_COUNT,COMPLAINTS_COUNT,NUMBER_OF_APPARTMENTS,NUMBER_OF_BOOKED_APPARTMENTS,NUMBER_OF_BASEMENTS,NUMBER_OF_PLINTH,NUMBER_OF_PODIUMS,NUMBER_OF_SANCTIONED_FLOORS,NUMBER_OF_STILTS,TOTAL_NO__OF_OPEN_PARKING_AS_PER_SANCTIONED_PLAN_(4-WHEELER+2-WHEELER),NUMBER_OF_CLOSED_PARKING,SOURCE_REGION,CLEAN_PODIUMS,NON_RESIDENTIAL_FLOORS,RESIDENTIAL_START_FLOOR,TOTAL_LEVELS,HABITABLE_RESIDENTIAL_FLOORS,PODIUM_PARKING_RANGE,REFUGE_FLOORS,EST_FLATS_PER_FLOOR,FINAL_FLOORS,CLEAN_BASEMENTS,STRUCTURAL_HEIGHT_M,GROUND_ELEVATION_MSL_M,TERRAIN_HEIGHT_M,BUILT_VOLUME_CBM,HEIGHT_TIER,BASE_ULPIN_ID
18.6,6.0,Mumbai City,P51900012419,Netarwala Compound,Mukon Constructions Pvt. Ltd.,400021,18.9255728,72.8242221,31-07-2008,30-12-2021,0,Residential,6657.22,2016.0,12226.59,11/16/2021,0,0,440,53,0.0,2,0,21,1,0,29,mumbai-city,0,1,2,6,5,Ground to Floor 1,,2445,21.0,,65.1,8.78,8.78,252324808.39,High-Rise,IN-MH-MUM-P51900012419-18925
18.6,6.0,Mumbai City,P51900002427,OM GuruKrupa SRA CHS Prop Phase 1,Moss Realtors Pvt Ltd,400021,18.9255728,72.8242221,25-12-2021,25-12-2021,12/25/2022,Residential,1309.5,214.79,3928.5,02-07-2022,0,0,39,0,1.0,1,0,12,1,0,38,mumbai-city,0,1,2,6,5,Ground to Floor 1,,786,12.0,,37.2,8.78,8.78,15947549.32,High-Rise,IN-MH-MUM-P51900002427-18925
21.7,7.0,Mumbai Suburban,P51800002862,VAIBHAV HEIGHTS,RSN BALAJI REALTORS P LTD,400055,19.07803,72.849701,31-12-2017,31-12-2018,12/31/2024,Residential,1387.48,202.42,3588.85,12-12-2023,0,1,52,49,0.0,2,0,28,2,2,45,mumbai-suburban,0,2,3,7,5,Ground to Floor 2,,718,28.0,,86.8,16.4,16.4,15436318.55,High-Rise,IN-MH-MUM-P51800002862-19078
21.7,7.0,Mumbai Suburban,P51800009175,Hubtown Serene - A wing,Akruti GM Joint Venture,400051,19.06087107,72.8487277,31-07-2017,31-07-2029,0,Residential,318.66,756.4,2948.24,01/17/2024,0,10,44,0,4.0,2,0,16,2,0,44,mumbai-suburban,0,2,3,7,5,Ground to Floor 2,,590,16.0,,49.6,15.54,15.54,2912407.09,High-Rise,IN-MH-MUM-P51800009175-19060
46.5,7.0,Mumbai Suburban,P51800004889,TEN BKC,MIG (Bandra) Realtors & Builders Private Limited,400051,19.05549051,72.84827324,,,06-05-2024,Residential,20149.4,4242.08,58365.12,11/30/2023,34,36,722,363,,15,0,365,0,0,915,mumbai-suburban,0,0,1,7,7,Ground Only,,103,15.0,0.0,46.5,15.27,15.27,3645668661.68,High-Rise,IN-MH-MUM-P51800004889-19055
21.7,7.0,Mumbai Suburban,P51800000183,Hubtown Sunstone A wing,Sunstone Developers Joint Venture,400051,19.05930578,72.84961202,31-12-2018,30-12-2025,0,Residential,924.93,584.71,2860.24,04/25/2023,0,1,30,14,3.0,1,0,8,1,9,65,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,477,8.0,,24.8,15.47,15.47,8201117.53,Mid-Rise,IN-MH-MUM-P51800000183-19059
16.7,5.4,Mumbai City,P51900007497,AADITYA HEIGHTS,SANGHVI REALTY PIVATE LTD.,400034,18.9724162,72.8148177,31-12-2018,30-12-2024,0,Residential,3612.9,1779.59,11381.59,02/27/2024,4,0,172,148,0.0,1,7,22,0,0,31,mumbai-city,0,0,1,5,5,Ground Only,,2276,22.0,,68.2,11.12,11.12,127473694.18,High-Rise,IN-MH-MUM-P51900007497-18972
16.7,5.4,Mumbai City,P51900000723,Wing B of Composite Building No 1 Imperial Edge,SD Corporation Private Limited,400034,18.9724162,72.8148177,31-03-2019,30-12-2021,0,Residential,1256.84,0.0,7011.0,12/20/2022,0,0,46,40,2.0,1,21,51,1,0,1,mumbai-city,0,1,2,5,4,Ground to Floor 1,,1753,51.0,,158.1,11.12,11.12,27316286.24,Skyscraper,IN-MH-MUM-P51900000723-18972
16.7,5.4,Mumbai City,P51900014964,Contemporary Builder Private Limited Tardeo Project,Contemporary builders private Limited,400034,18.9724162,72.8148177,30-12-2023,30-12-2023,0,Others,1601.18,125.72,5530.28,04/19/2023,1,0,117,5,1.0,2,6,48,1,3,1,mumbai-city,6,7,8,8,1,Ground to Floor 7,,5530,48.0,,148.8,11.12,11.12,27450418.56,Skyscraper,IN-MH-MUM-P51900014964-18972
21.7,7.0,Mumbai Suburban,P51800011901,Mayur Tower,Geopreneur Spire Realty,400051,19.058293,72.843887,31-05-2016,31-03-2019,06/30/2025,Residential,1833.89,277.13,5999.0,06/23/2023,4,2,97,80,0.0,2,2,34,2,0,2,mumbai-suburban,2,4,5,7,3,Ground to Floor 4,,2000,34.0,,105.4,15.41,15.41,34104668.94,Skyscraper,IN-MH-MUM-P51800011901-19058
21.7,7.0,Mumbai City,P51900004549,MON DESIR,SURAJ ESTATE DEVELOPERS LTD,400028,19.025136,72.835955,31-12-2017,31-12-2018,12/31/2019,Others,788.0,0.0,1793.9,03-10-2021,0,1,29,29,1.0,1,0,8,1,0,1,mumbai-city,0,1,2,7,6,Ground to Floor 1,,299,8.0,,24.8,13.76,13.76,4382138.92,Mid-Rise,IN-MH-MUM-P51900004549-19025
21.7,7.0,Mumbai Suburban,P51800028736,25 West -A (East)Wing,25 West Realty Private Limited,400050,19.044817,72.822551,30-06-2032,30-06-2032,0,Residential,1099.96,695.55,16124.35,03/16/2024,6,0,65,24,1.0,1,10,44,1,0,525,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,2687,44.0,,136.4,14.74,14.74,54982034.08,Skyscraper,IN-MH-MUM-P51800028736-19044
